group,age_bin,mouse,date,hemisphere,window_sec,r,p,n_pts
SM_P90,P90,SM1B,070824,green_l,180.0,0.12369764554117794,0.0418782022978349,271
SM_P90,P90,SM1B,070824,green_l,240.0,0.19560751052130126,0.0012098684132311663,271
SM_P90,P90,SM1L,070824,green_l,60.0,-0.017171922424683572,0.7836982340890146,258
SM_P90,P90,SM1L,070824,green_l,120.0,0.16325531533576648,0.00860946742794283,258
SM_P90,P90,SM1L,070824,green_l,180.0,0.21169685252642378,0.0006199846342398143,258
SM_P90,P90,SM1L,070824,green_l,240.0,0.22443038561018971,0.0002792280334693879,258
SM_P90,P90,SM2N,070824,green_l,60.0,0.19934662969578792,0.0001857865274861325,347
SM_P90,P90,SM2N,070824,green_l,120.0,0.20892021977377456,8.815866087456124e-05,347
SM_P90,P90,SM2N,070824,green_l,180.0,0.23152084070915122,1.321421328656829e-05,347
SM_P90,P90,SM2N,070824,green_l,240.0,0.22406048441986665,2.5266973018803562e-05,347
