mouse,date,session_dir,error,green_r_valid,green_l_valid,green_r_cohens_d,green_r_p_value,green_r_error,green_l_cohens_d,green_l_p_value,green_l_error,age_bin
SM3MN,071924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071924/SM3MN,,True,True,-0.2433447438929011,0.0155882582655882,,-0.2267014642816542,0.0241313691357413,,P140
SM3MN,072224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072224/SM3MN,,True,True,-0.2195630710707819,0.009513408035187,,-0.2257101812808508,0.0076941266139458,,P140
SM3MN,072424,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072424/SM3MN,,False,False,0.0794955113644131,0.4634367396543952,,0.0807842763144576,0.4560954229053827,,P140
SM3MR,071824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071824/SM3MR,,False,False,-0.0851733682687732,0.5434053933869465,,-0.0879052411047505,0.5299231927816703,,P140
SM3MR,072324,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072324/SM3MR,,True,True,0.3513605896390483,0.0137260217787998,,0.3509605577028148,0.0135627998182743,,P140
SM3FR,072524,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072524/SM3FR,,True,True,-0.3445686475456571,0.0009985009609991,,-0.3560479472157152,0.0006654658898333,,P150
SM3MN,072624,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072624/SM3MN,,False,False,-0.1500376932478104,0.1004658058416114,,-0.1628372552783475,0.0743135295816486,,P150
SM3MN,072924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/072924/SM3MN,,True,True,-0.2566463981652794,0.0073257223232169,,-0.2409584563018885,0.0117170132131006,,P150
SM3MN,073124,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/073124/SM3MN,,True,True,-0.3684294065368422,0.0002445957438428,,-0.3630894617350462,0.0003010244102309,,P150
SM3MN,080224,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/080224/SM3MN,,True,True,-0.4033569060318001,0.0002430306911214,,-0.4029943510747328,0.0002428506089325,,P150
