mouse,date,session_dir,jrgeco_only,error,green_r_carrier_valid,green_r_reward_significant,green_l_carrier_valid,green_l_reward_significant,red_r_carrier_valid,red_r_reward_significant,red_l_carrier_valid,red_l_reward_significant,green_r_detected_freq_hz,green_r_matched_known_freq_hz,green_r_amplitude,green_r_cohens_d,green_r_p_value,green_r_error,green_l_detected_freq_hz,green_l_matched_known_freq_hz,green_l_amplitude,green_l_cohens_d,green_l_p_value,green_l_error,red_r_detected_freq_hz,red_r_matched_known_freq_hz,red_r_amplitude,red_r_cohens_d,red_r_p_value,red_r_error,red_l_detected_freq_hz,red_l_matched_known_freq_hz,red_l_amplitude,red_l_cohens_d,red_l_p_value,red_l_error,age_bin
SM1L,070824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070824/SM1L,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.048819395142819785,-0.26414619370245274,0.011358465115900308,,166.6259765625,167.0,0.584384945014611,-0.2522542735985187,0.015679236590135495,,222.16796875,,0.011355861920176874,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.25628774219059414,-0.6031626479443604,1.3031229132485429e-08,,P90
SM2N,070824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070824/SM2N,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.03637071197207148,-0.38348734118718814,0.001059046836919247,,166.6259765625,167.0,0.5816363645446871,-0.43407043147160174,0.00026428014915678847,,221.5576171875,,0.006214012594705212,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.060781399673284504,-0.8500422559490455,1.590954817127105e-12,,P90
SM2R,070824,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070824/SM2R,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.030044242078609264,-0.23079266728085626,0.024064924979620404,,166.6259765625,167.0,0.580068029408302,-0.23448033009853353,0.02208194089276271,,222.16796875,,0.013610632638895488,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.3631716977494133,-0.5473390647913622,2.046414317050367e-07,,P90
SM1N,070924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070924/SM1N,False,,True,True,True,True,True,False,True,True,166.6259765625,167.0,0.17267548195032523,-0.4633588607631709,0.014378007870235052,,166.6259765625,167.0,0.582468797994309,-0.5252898632990883,0.005626878988635929,,222.16796875,223.0,0.05494235842575424,-0.04313671278238813,0.8194533431761468,,222.16796875,223.0,0.2718464363005528,-0.4998645316845993,0.008231343645191964,,P90
SM2B,070924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070924/SM2B,True,,False,,True,True,False,,True,True,166.6259765625,,0.012008045444711606,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.5840451259157721,-0.7560622766493992,4.5567708412148115e-14,,222.16796875,,0.011681862710950544,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.36092608914390506,-0.9607246776592087,1.0097599310660026e-20,,P90
SM2L,070924,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/070924/SM2L,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.029310236575859825,-0.39244308788374715,0.00020459547767011282,,166.6259765625,167.0,0.5838664876517626,-0.3837335907943011,0.000302315808076103,,222.16796875,,0.007450465666607515,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.23145096384917155,-0.21938889469800174,0.03735235357639433,,P90
SM1B,071024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071024/SM1B,True,,False,,True,True,False,,True,True,166.6259765625,,0.010260834181282333,,,no real carrier detected at this channel's own frequency (dead channel),166.6259765625,167.0,0.582896092680496,-0.31217252194364736,0.0008040547280393374,,222.16796875,,0.008298881465133827,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.3320688952026448,-0.40412081983852005,1.9252789165412524e-05,,P90
SM1L,071024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071024/SM1L,False,,True,False,True,False,False,,True,False,166.6259765625,167.0,0.24162708503986283,0.006193068914111184,0.9443786116058177,,166.6259765625,167.0,0.5839161075118955,-0.01772638980865089,0.8415714468012998,,222.16796875,,0.03294612714466005,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.26604319036620944,-0.09755056633397556,0.27495717392751723,,P90
SM2N,071024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071024/SM2N,False,,True,False,True,False,False,,True,True,166.6259765625,167.0,0.07405189513635685,-0.18367897185597384,0.13348765311162528,,166.6259765625,167.0,0.582666126148414,-0.1947566753530608,0.10917890190644364,,222.16796875,,0.00873000440575677,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.24287202740042385,-0.5628383573674774,8.354743717901996e-06,,P90
SM2R,071024,/Volumes/Neurobio/MICROSCOPE/Kevin/3-Experiments/2-Behavior/3-nosepoke_SM/1-raw data/PV-dualphotometry/071024/SM2R,False,,True,True,True,True,False,,True,True,166.6259765625,167.0,0.04645077998262612,-0.4336881266126689,2.570423370146822e-05,,166.6259765625,167.0,0.581516611175921,-0.40466194530310784,7.989506315256534e-05,,222.16796875,,0.016725044925735327,,,no real carrier detected at this channel's own frequency (dead channel),222.16796875,223.0,0.3268191822067336,-0.5563278851630334,1.3053207479243995e-07,,P90
