mouse,date,alpha,beta,kappa,nll,n_trials,group,frac_forced_trials,reward_probs_observed,cohort,cohort_family,condition,age_days,age_bin
WCL32,080923,0.8318189571309176,1.8056559984419815,0.8486656375948033,116.69882363686204,327,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,162.0,
WCL32,081123,0.9998277239383763,1.6329032233113951,1.1670615528365007,114.28132691699696,362,fast_learner,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,164.0,
WCL32,081323,0.6695273184651543,2.5518462520280245,1.2095340008916478,102.55130949619809,393,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,166.0,
WCL33,072523,0.33235443171943535,3.0948777523553437,1.3603917410963318,83.5515291930565,323,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,147.0,
WCL33,073123,0.32718617348159507,1.8531688128226007,1.6971691632406043,132.8427509391732,458,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,153.0,
WCL33,080223,0.9028814347964544,2.742537536526307,1.4702211229855562,90.3696410148367,397,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,155.0,
WCL33,080423,0.769316522668258,1.9401131861728846,1.2607650719129186,139.61307476574075,497,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,157.0,
WCL33,080823,0.8566284814335661,2.0880913026522623,1.3748525251236303,126.30395514238568,522,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,161.0,
WCL33,081023,0.7780573263216136,2.3975113515064197,1.566136184245203,107.72099439631364,529,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,163.0,
WCL33,081223,0.7370547654189311,2.567934602837851,1.527147209597988,119.43154308848499,547,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_none,FP2,90/10,165.0,
WCL30,081423,0.7868141026714248,2.7368232281242104,0.4996662511499815,139.06588900931038,455,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,167.0,
WCL30,081623,0.7636514032590143,2.513660465765915,0.5899132903990592,142.46104560577626,433,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,169.0,
WCL31,081523,0.8936169972560365,2.108880215527198,0.8452849439653679,150.6731211812809,475,non_boundary,0.0,"[0.1, 0.1, 0.9]",FP2_dcz,FP2,90/10,168.0,
